,plugin,conda_downloads,pypi_downloads
0,napari-bud-cell-segmenter,,27.0
1,napari-nibabel,,40.0
2,napari-molecule-reader,18.0,18.0
3,napari-obj,,13.0
4,napari-DeepSpot,12.0,35.0
5,napari-hello,,14.0
6,napari-sim-processor,16.0,292.0
7,napari-filaments,14.0,35.0
8,napari-plugin-search,114.0,67.0
9,napari-clusters-plotter,53.0,342.0
10,napari-vesicles-segmentation,9.0,12.0
11,napari-math,15.0,19.0
12,napari-crop,17.0,183.0
13,napari-nd2-folder-viewer,17.0,70.0
14,napari-allencell-annotator,28.0,61.0
15,mikro-napari,,192.0
16,vollseg-napari,18.0,326.0
17,napari-dexp,19.0,34.0
18,napari-ndev,,50.0
19,napari-aphid,,62.0
20,napari-segment-blobs-and-things-with-membranes,97.0,894.0
21,napari-svetlana,,228.0
22,napari-curtain,114.0,62.0
23,MSI-Explorer,,119.0
24,blik,25.0,102.0
25,napari-aideveloper,,27.0
26,napari-animated-gif-io,12.0,71.0
27,napari-psf-analysis,8.0,45.0
28,natari,7.0,30.0
29,napari-generic-SIMulator,33.0,122.0
30,napari-feature-classifier,8.0,57.0
31,napari-spatialdata,7.0,203.0
32,napari-imc,42.0,64.0
33,napari-organoid-counter,,137.0
34,napari-assistant,159.0,953.0
35,World2Data,9.0,18.0
36,napari-pram,7.0,28.0
37,napari-n2v,,120.0
38,napari-hierarchical,,19.0
39,napari-simpleitk-image-processing,86.0,212.0
40,napari-cellseg3d,25.0,39.0
41,napari-mrcfile-handler,11.0,26.0
42,napari-validate-random-label-predictions,,11.0
43,napari-console,80.0,22315.0
44,iacs-ipac-reader,19.0,23.0
45,napari-imagej,,41.0
46,empanada-napari,,142.0
47,the-segmentation-game,130.0,62.0
48,napari-pdr-reader,8.0,13.0
49,napari-IDS,,17.0
50,napari-affinities,,41.0
51,napari-omaas,10.0,20.0
52,napari-brushsettings,8.0,21.0
53,waver,21.0,28.0
54,napari-workflow-inspector,142.0,231.0
55,beetlesafari,7.0,68.0
56,napari-annotator,5.0,73.0
57,napari-czifile2,143.0,100.0
58,napari-ehooke,,36.0
59,napari-bioimageio,9.0,21.0
60,napari-splinedist,,21.0
61,napari-layer-table,26.0,24.0
62,napari-wsi,,37.0
63,napari-itk-io,18.0,121.0
64,napari-power-spectrum,8.0,14.0
65,vessel-express-napari,10.0,54.0
66,morphometrics-engine,,17.0
