,plugin,conda_downloads,pypi_downloads
0,Image-Composer,,84.0
1,Image-Part-Selecter,,78.0
2,Label-Creator,,85.0
3,Layer-Data-Replace,,73.0
4,Offset-Subtraction,,76.0
5,PartSeg,,1265.0
6,Partial-Aligner,,70.0
7,PlatyMatch,,160.0
8,RedLionfish,,304.0
9,World2Data,,79.0
10,affinder,198.0,73.0
11,arcos-gui,192.0,68.0
12,avidaq,221.0,81.0
13,bbii-decon,96.0,82.0
14,beetlesafari,99.0,112.0
15,bfio,,1049.0
16,blik,97.0,46.0
17,brainglobe-napari-io,193.0,311.0
18,brainreg-napari,,65.0
19,brainreg-segment,197.0,367.0
20,btrack,127.0,340.0
21,cellfinder-napari,188.0,202.0
22,cellpose-napari,225.0,341.0
23,devbio-napari,1583.0,494.0
24,disease-classifier,,13.0
25,elastix-napari,,136.0
26,empanada-napari,,516.0
27,faser,,119.0
28,grabber-ift,100.0,84.0
29,guanine-crystal-analysis,98.0,14.0
30,hesperos,303.0,411.0
31,iacs-ipac-reader,194.0,80.0
32,imaxt-multiscale-plugin,,128.0
33,koopa-viz,,30.0
34,mikro-napari,,195.0
35,misic-napari,152.0,202.0
36,morphometrics,173.0,64.0
37,napari-3d-ortho-viewer,172.0,115.0
38,napari-DeepSpot,,114.0
39,napari-IDS,,91.0
40,napari-IP-workflow,,21.0
41,napari-ISM,,15.0
42,napari-J,,96.0
43,napari-LF,,9.0
44,napari-PHILOW,,83.0
45,napari-PICASSO,,21.0
46,napari-accelerated-pixel-and-object-classification,1232.0,2549.0
47,napari-affinities,,189.0
48,napari-aicsimageio,404.0,406.0
49,napari-aideveloper,,31.0
50,napari-allencell-annotator,206.0,546.0
51,napari-allencell-segmenter,89.0,406.0
52,napari-animated-gif-io,185.0,94.0
53,napari-animation,170.0,371.0
54,napari-annotator,91.0,21.0
55,napari-annotatorj,194.0,66.0
56,napari-apple,,14.0
57,napari-apr-viewer,,93.0
58,napari-arboretum,233.0,103.0
59,napari-assistant,1535.0,917.0
60,napari-bigwarp,97.0,74.0
61,napari-bil-data-viewer,93.0,91.0
62,napari-bio-sample-data,,41.0
63,napari-bioformats,30.0,138.0
64,napari-bioimageio,96.0,28.0
65,napari-bleach-correct,,60.0
66,napari-blob-detection,172.0,220.0
67,napari-blossom,101.0,12.0
68,napari-boids,,64.0
69,napari-boxmanager,,237.0
70,napari-brightness-contrast,307.0,366.0
71,napari-brushsettings,95.0,84.0
72,napari-btrack-reader,93.0,75.0
73,napari-buds,,188.0
74,napari-calibration,,260.0
75,napari-ccp4map,97.0,79.0
76,napari-cellseg3d,305.0,74.0
77,napari-checkerboard,,94.0
78,napari-cilia-beating-frequency,,12.0
79,napari-clemreg,,77.0
80,napari-clusters-plotter,673.0,368.0
81,napari-compressed-labels-io,91.0,79.0
82,napari-console,1588.0,24538.0
83,napari-cookiecut,,
84,napari-crop,265.0,295.0
85,napari-cryofibsem-monitor,97.0,76.0
86,napari-cupy-image-processing,667.0,212.0
87,napari-curtain,165.0,219.0
88,napari-czann-segment,194.0,36.0
89,napari-czifile2,342.0,309.0
90,napari-deepfinder,,17.0
91,napari-deeplabcut,625.0,315.0
92,napari-deepmeta,98.0,49.0
93,napari-dexp,190.0,47.0
94,napari-dv,97.0,39.0
95,napari-dvid,92.0,79.0
96,napari-dzi-zarr,95.0,86.0
97,napari-elementary-numpy-operations,91.0,105.0
98,napari-em-reader,90.0,75.0
99,napari-error-reporter,197.0,21.0
100,napari-feature-classifier,99.0,18.0
101,napari-features,94.0,104.0
102,napari-filament-annotator,,
103,napari-filaments,197.0,30.0
104,napari-folder-browser,163.0,236.0
105,napari-generic-SIMulator,,457.0
106,napari-geojson,91.0,53.0
107,napari-hdf5-labels-io,95.0,57.0
108,napari-help,94.0,20.0
109,napari-image-stacker,190.0,128.0
110,napari-imaris-loader,367.0,169.0
111,napari-imc,278.0,105.0
112,napari-imsmicrolink,274.0,60.0
113,napari-input-visualizer,,
114,napari-itk-io,185.0,115.0
115,napari-kics,106.0,92.0
116,napari-label-interpolator,,101.0
117,napari-labelimg4classification,95.0,88.0
118,napari-labeling,93.0,24.0
119,napari-labelling-assistant,97.0,104.0
120,napari-labels-overlap,186.0,37.0
121,napari-lattice,,465.0
122,napari-layer-details-display,362.0,265.0
123,napari-layer-table,95.0,24.0
124,napari-lazy-openslide,183.0,168.0
125,napari-live-recording,147.0,77.0
126,napari-manual-transforms,91.0,30.0
127,napari-mat-images,86.0,82.0
128,napari-math,181.0,25.0
129,napari-matplotlib,206.0,483.0
130,napari-medical-image-formats,94.0,101.0
131,napari-merge-stardist-masks,,72.0
132,napari-metroid,103.0,26.0
133,napari-micromanager,181.0,147.0
134,napari-microscope,90.0,80.0
135,napari-mm3,,31.0
136,napari-molecule-reader,175.0,25.0
137,napari-mouse-controls,162.0,239.0
138,napari-mrcfile-handler,96.0,110.0
139,napari-mrcfile-reader,91.0,93.0
140,napari-mri,94.0,76.0
141,napari-multitask,89.0,78.0
142,napari-nD-annotator,,332.0
143,napari-nasa-samples,94.0,41.0
144,napari-nd-cropper,91.0,81.0
145,napari-nd2-folder-viewer,155.0,146.0
146,napari-ndtiffs,98.0,301.0
147,napari-nikon-nd2,91.0,88.0
148,napari-nlm,,28.0
149,napari-nucleaizer,,70.0
150,napari-omaas,100.0,59.0
151,napari-ome-zarr,498.0,2002.0
152,napari-omero,96.0,34.0
153,napari-organoid-counter,,102.0
154,napari-patchcreator,,72.0
155,napari-pdf-reader,88.0,71.0
156,napari-pdr-reader,101.0,13.0
157,napari-pixel-correction,,158.0
158,napari-plot,384.0,97.0
159,napari-plot-profile,171.0,306.0
160,napari-plugin-search,169.0,254.0
161,napari-power-spectrum,96.0,27.0
162,napari-pram,98.0,36.0
163,napari-process-points-and-surfaces,,1078.0
164,napari-proofread-brainbow,,266.0
165,napari-properties-plotter,92.0,89.0
166,napari-properties-viewer,92.0,92.0
167,napari-psf-analysis,96.0,86.0
168,napari-psf-simulator,97.0,47.0
169,napari-pyclesperanto-assistant,839.0,880.0
170,napari-pymeshlab,,42.0
171,napari-pystackreg,154.0,167.0
172,napari-quoll,,27.0
173,napari-rioxarray,,88.0
174,napari-roi,804.0,367.0
175,napari-roi-registration,189.0,66.0
176,napari-sairyscan,,18.0
177,napari-sc3D-viewer,,14.0
178,napari-script-editor,173.0,133.0
179,napari-sdeconv,97.0,24.0
180,napari-segment,,
181,napari-segment-blobs-and-things-with-membranes,1226.0,947.0
182,napari-serialcellpose,,136.0
183,napari-sift-registration,96.0,37.0
184,napari-sim-processor,196.0,97.0
185,napari-simpleitk-image-processing,1070.0,470.0
186,napari-skimage-regionprops,1415.0,1636.0
187,napari-spacetx-explorer,94.0,141.0
188,napari-spatial-omics,88.0,117.0
189,napari-spatialdata,96.0,65.0
190,napari-splinedist,,
191,napari-splineit,97.0,21.0
192,napari-spreadsheet,,94.0
193,napari-stl-exporter,403.0,148.0
194,napari-stracking,99.0,117.0
195,napari-stress,,316.0
196,napari-subboxer,94.0,71.0
197,napari-svg,1564.0,19023.0
198,napari-tabu,170.0,211.0
199,napari-text-layer,100.0,84.0
200,napari-tiler,80.0,117.0
201,napari-time-series-plotter,282.0,120.0
202,napari-time-slicer,915.0,1078.0
203,napari-timeseries-opener-plugin,189.0,369.0
204,napari-tissuumaps,92.0,99.0
205,napari-tomoslice,94.0,90.0
206,napari-tracks-reader,95.0,84.0
207,napari-trait2d,197.0,35.0
208,napari-turing,97.0,109.0
209,napari-tyssue,,
210,napari-vesicles-segmentation,100.0,9.0
211,napari-video-cvdask,,30.0
212,napari-workflow-inspector,436.0,268.0
213,napari-workflow-optimizer,256.0,184.0
214,napari-wsireg,,74.0
215,napari-yapic-prediction,180.0,119.0
216,napari-yolov5,99.0,87.0
217,napari-zelda,93.0,115.0
218,napari_video,282.0,190.0
219,natari,100.0,114.0
220,nfinder,277.0,77.0
221,okapi-em,,
222,palmari,151.0,34.0
223,platelet-unet-watershed,95.0,90.0
224,psfmodels,190.0,228.0
225,pycudadecon,142.0,75.0
226,recOrder-napari,,222.0
227,skeleton-finder,,22.0
228,smo,99.0,96.0
229,snouty-viewer,,205.0
230,stardist-napari,207.0,553.0
231,the-segmentation-game,165.0,151.0
232,vessel-express-napari,99.0,80.0
233,vollseg-napari,99.0,416.0
234,waver,179.0,111.0
235,workshop-demo,100.0,26.0
236,yt-napari,99.0,13.0
237,zarpaint,,82.0
