,plugin,conda_downloads,pypi_downloads
0,Image-Composer,10.0,24.0
1,Image-Part-Selecter,10.0,12.0
2,Label-Creator,10.0,31.0
3,Layer-Data-Replace,17.0,21.0
4,MSI-Explorer,,
5,Offset-Subtraction,12.0,9.0
6,PartSeg,252.0,358.0
7,PartSeg-smfish,30.0,38.0
8,Partial-Aligner,14.0,16.0
9,PlatyMatch,114.0,42.0
10,RedLionfish,172.0,247.0
11,World2Data,10.0,18.0
12,acquifer-napari,,
13,affinder,29.0,58.0
14,allencell-ml-segmenter,,
15,anchor-droplet-chip,,439.0
16,arcos-gui,27.0,46.0
17,avidaq,33.0,48.0
18,bbii-decon,12.0,11.0
19,beetlesafari,15.0,22.0
20,bfio,,1236.0
21,blik,31.0,54.0
22,brainglobe-napari-io,28.0,670.0
23,brainreg-napari,,180.0
24,brainreg-segment,19.0,527.0
25,btrack,132.0,822.0
26,cellfinder-napari,34.0,207.0
27,cellpose-napari,35.0,203.0
28,devbio-napari,258.0,225.0
29,disease-classifier,,7.0
30,eats-worm,,
31,elastix-napari,,190.0
32,empanada-napari,,111.0
33,epitools,,
34,faser,,71.0
35,grabber-ift,7.0,21.0
36,guanine-crystal-analysis,10.0,19.0
37,hesperos,91.0,372.0
38,iacs-ipac-reader,16.0,25.0
39,ilastik-napari,,55.0
40,imaxt-multiscale-plugin,,64.0
41,in-silico-fate-mapping,,23.0
42,koopa-viz,10.0,80.0
43,mikro-napari,,463.0
44,misic-napari,21.0,68.0
45,morphometrics,134.0,88.0
46,morphometrics-engine,,14.0
47,morphospaces,,13.0
48,multireg,,
49,napari-3d-ortho-viewer,119.0,42.0
50,napari-DeepSpot,12.0,32.0
51,napari-IDS,,27.0
52,napari-IP-workflow,10.0,15.0
53,napari-ISM,24.0,100.0
54,napari-J,35.0,142.0
55,napari-LF,,14.0
56,napari-PHILOW,11.0,13.0
57,napari-PICASSO,14.0,12.0
58,napari-SAM4IS,,
59,napari-accelerated-pixel-and-object-classification,144.0,360.0
60,napari-affinities,,70.0
61,napari-aicsimageio,52.0,294.0
62,napari-aideveloper,,24.0
63,napari-allencell-annotator,45.0,107.0
64,napari-allencell-segmenter,30.0,235.0
65,napari-amdtrk,,
66,napari-animated-gif-io,20.0,37.0
67,napari-animation,21.0,280.0
68,napari-annotate,,19.0
69,napari-annotator,12.0,25.0
70,napari-annotatorj,14.0,43.0
71,napari-aphid,,72.0
72,napari-apple,,19.0
73,napari-apr-viewer,,24.0
74,napari-arboretum,33.0,51.0
75,napari-assistant,172.0,1150.0
76,napari-assistant-plugin-generator,,12.0
77,napari-bacseg,,131.0
78,napari-bbox,,143.0
79,napari-bigfish,,
80,napari-bigwarp,9.0,11.0
81,napari-bil-data-viewer,14.0,39.0
82,napari-bio-sample-data,12.0,32.0
83,napari-bioformats,20.0,57.0
84,napari-bioimageio,9.0,22.0
85,napari-bleach-correct,,23.0
86,napari-blender-bridge,,
87,napari-blob-detection,120.0,47.0
88,napari-blossom,8.0,32.0
89,napari-boids,,6.0
90,napari-boxmanager,,509.0
91,napari-brainbow-diagnose,,157.0
92,napari-brainways,,
93,napari-brightness-contrast,144.0,137.0
94,napari-brushsettings,11.0,15.0
95,napari-bud-cell-segmenter,,39.0
96,napari-buds,,177.0
97,napari-calibration,,75.0
98,napari-ccp4map,9.0,13.0
99,napari-cell-centroid-annotator,,113.0
100,napari-cellseg3d,30.0,130.0
101,napari-chatgpt,,
102,napari-checkerboard,,22.0
103,napari-clemreg,,9.0
104,napari-clusters-plotter,61.0,313.0
105,napari-compressed-labels-io,9.0,13.0
106,napari-conidie,,14.0
107,napari-console,70.0,24311.0
108,napari-cookiecut,,25.0
109,napari-correct-drift,,
110,napari-crop,16.0,145.0
111,napari-cryofibsem-monitor,24.0,18.0
112,napari-cupy-image-processing,67.0,117.0
113,napari-curtain,113.0,48.0
114,napari-czann-segment,33.0,60.0
115,napari-czifile2,144.0,130.0
116,napari-data-preview,,15.0
117,napari-deepfinder,,17.0
118,napari-deeplabcut,78.0,2100.0
119,napari-deepmeta,9.0,34.0
120,napari-denoiseg,,32.0
121,napari-dexp,22.0,30.0
122,napari-dv,10.0,37.0
123,napari-dvid,9.0,12.0
124,napari-dzi-zarr,9.0,21.0
125,napari-ehooke,,454.0
126,napari-elementary-numpy-operations,12.0,22.0
127,napari-em-reader,10.0,10.0
128,napari-error-reporter,23.0,11.0
129,napari-feature-classifier,11.0,135.0
130,napari-features,10.0,21.0
131,napari-features-selector,,230.0
132,napari-figure,,
133,napari-filament-annotator,,32.0
134,napari-filaments,21.0,28.0
135,napari-file-watcher,,54.0
136,napari-folder-browser,114.0,54.0
137,napari-gemspa,,
138,napari-generic-SIMulator,51.0,578.0
139,napari-geojson,11.0,76.0
140,napari-geoscience-viewer,,
141,napari-graph,,
142,napari-griottes,,305.0
143,napari-gruvbox,,88.0
144,napari-hdf5-labels-io,12.0,44.0
145,napari-hello,,
146,napari-help,9.0,9.0
147,napari-hierarchical,,15.0
148,napari-hough-circle-detector,,
149,napari-image-stacker,15.0,36.0
150,napari-imagej,,
151,napari-imaris-loader,45.0,108.0
152,napari-imc,37.0,87.0
153,napari-imsmicrolink,22.0,90.0
154,napari-indices,,
155,napari-input-visualizer,,16.0
156,napari-itk-io,16.0,393.0
157,napari-kics,15.0,14.0
158,napari-label-interpolator,,18.0
159,napari-labelimg4classification,9.0,13.0
160,napari-labeling,9.0,19.0
161,napari-labelling-assistant,9.0,23.0
162,napari-labelprop,,
163,napari-labels-overlap,20.0,19.0
164,napari-laptrack,,
165,napari-large-image-importer,,35.0
166,napari-lattice,,120.0
167,napari-layer-details-display,30.0,108.0
168,napari-layer-table,57.0,102.0
169,napari-lazy-openslide,20.0,89.0
170,napari-listener,,146.0
171,napari-live-flim,,85.0
172,napari-live-recording,30.0,43.0
173,napari-locpix,,30.0
174,napari-macrokit,,29.0
175,napari-manual-transforms,10.0,24.0
176,napari-mat-file-reader,,22.0
177,napari-mat-images,10.0,21.0
178,napari-math,26.0,17.0
179,napari-matplotlib,23.0,614.0
180,napari-mclabel,,
181,napari-medical-image-formats,13.0,208.0
182,napari-merge-stardist-masks,,48.0
183,napari-meshio,,137.0
184,napari-metroid,8.0,19.0
185,napari-micromanager,22.0,73.0
186,napari-microscope,11.0,16.0
187,napari-mm3,,62.0
188,napari-molecule-reader,19.0,14.0
189,napari-mouse-controls,119.0,68.0
190,napari-mrcfile-handler,9.0,27.0
191,napari-mrcfile-reader,8.0,30.0
192,napari-mri,13.0,180.0
193,napari-multitask,12.0,10.0
194,napari-mzarr,,
195,napari-n2v,,81.0
