,plugin,conda_downloads,pypi_downloads
0,Image-Composer,12.0,38.0
1,Image-Part-Selecter,10.0,43.0
2,Label-Creator,17.0,53.0
3,Layer-Data-Replace,16.0,34.0
4,Offset-Subtraction,11.0,31.0
5,PartSeg,422.0,581.0
6,PartSeg-smfish,124.0,169.0
7,Partial-Aligner,10.0,30.0
8,PlatyMatch,124.0,131.0
9,RedLionfish,536.0,239.0
10,World2Data,23.0,34.0
11,affinder,42.0,66.0
12,arcos-gui,42.0,57.0
13,avidaq,40.0,81.0
14,bbii-decon,14.0,40.0
15,beetlesafari,17.0,47.0
16,bfio,,843.0
17,blik,13.0,204.0
18,brainglobe-napari-io,31.0,242.0
19,brainreg-napari,,45.0
20,brainreg-segment,28.0,294.0
21,btrack,102.0,241.0
22,cellfinder-napari,76.0,370.0
23,cellpose-napari,37.0,264.0
24,devbio-napari,988.0,467.0
25,disease-classifier,,20.0
26,elastix-napari,,91.0
27,empanada-napari,,200.0
28,faser,,38.0
29,grabber-ift,13.0,41.0
30,guanine-crystal-analysis,14.0,19.0
31,hesperos,270.0,534.0
32,iacs-ipac-reader,24.0,42.0
33,imaxt-multiscale-plugin,,70.0
34,koopa-viz,44.0,68.0
35,mikro-napari,,591.0
36,misic-napari,32.0,87.0
37,morphometrics,330.0,198.0
38,morphometrics-engine,,81.0
39,napari-3d-ortho-viewer,128.0,81.0
40,napari-DeepSpot,19.0,40.0
41,napari-IDS,,36.0
42,napari-IP-workflow,16.0,27.0
43,napari-ISM,62.0,90.0
44,napari-J,110.0,196.0
45,napari-LF,,14.0
46,napari-PHILOW,17.0,31.0
47,napari-PICASSO,16.0,26.0
48,napari-accelerated-pixel-and-object-classification,378.0,451.0
49,napari-affinities,,80.0
50,napari-aicsimageio,84.0,298.0
51,napari-aideveloper,,31.0
52,napari-allencell-annotator,119.0,217.0
53,napari-allencell-segmenter,109.0,231.0
54,napari-animated-gif-io,27.0,60.0
55,napari-animation,178.0,630.0
56,napari-annotate,,
57,napari-annotator,18.0,30.0
58,napari-annotatorj,33.0,61.0
59,napari-apple,,19.0
60,napari-apr-viewer,,49.0
61,napari-arboretum,51.0,48.0
62,napari-assistant,583.0,1468.0
63,napari-bigwarp,9.0,32.0
64,napari-bil-data-viewer,18.0,44.0
65,napari-bio-sample-data,45.0,103.0
66,napari-bioformats,26.0,152.0
67,napari-bioimageio,14.0,41.0
68,napari-bleach-correct,,44.0
69,napari-blob-detection,126.0,177.0
70,napari-blossom,19.0,86.0
71,napari-boids,,22.0
72,napari-boxmanager,,219.0
73,napari-brightness-contrast,175.0,279.0
74,napari-brushsettings,10.0,36.0
75,napari-btrack-reader,16.0,33.0
76,napari-buds,,277.0
77,napari-calibration,,121.0
78,napari-ccp4map,16.0,35.0
79,napari-cellseg3d,50.0,79.0
80,napari-checkerboard,,45.0
81,napari-cilia-beating-frequency,,17.0
82,napari-clemreg,,28.0
83,napari-clusters-plotter,294.0,283.0
84,napari-compressed-labels-io,15.0,30.0
85,napari-console,2247.0,20780.0
86,napari-cookiecut,,115.0
87,napari-crop,136.0,233.0
88,napari-cryofibsem-monitor,16.0,30.0
89,napari-cupy-image-processing,90.0,139.0
90,napari-curtain,124.0,161.0
91,napari-czann-segment,73.0,141.0
92,napari-czifile2,158.0,231.0
93,napari-deepfinder,,26.0
94,napari-deeplabcut,148.0,1011.0
95,napari-deepmeta,19.0,23.0
96,napari-denoiseg,,27.0
97,napari-dexp,30.0,24.0
98,napari-dv,19.0,36.0
99,napari-dvid,12.0,29.0
100,napari-dzi-zarr,15.0,37.0
101,napari-elementary-numpy-operations,16.0,45.0
102,napari-em-reader,8.0,30.0
103,napari-error-reporter,32.0,24.0
104,napari-feature-classifier,20.0,21.0
105,napari-features,12.0,51.0
106,napari-filament-annotator,,222.0
107,napari-filaments,31.0,28.0
108,napari-folder-browser,123.0,175.0
109,napari-generic-SIMulator,66.0,151.0
110,napari-geojson,12.0,131.0
111,napari-hdf5-labels-io,13.0,44.0
112,napari-help,7.0,22.0
113,napari-image-stacker,31.0,64.0
114,napari-imaris-loader,52.0,71.0
115,napari-imc,50.0,93.0
116,napari-imsmicrolink,40.0,61.0
117,napari-input-visualizer,,85.0
118,napari-itk-io,27.0,87.0
119,napari-kics,14.0,52.0
120,napari-label-interpolator,,44.0
121,napari-labelimg4classification,19.0,37.0
122,napari-labeling,17.0,21.0
123,napari-labelling-assistant,13.0,37.0
124,napari-labels-overlap,29.0,29.0
125,napari-lattice,,105.0
126,napari-layer-details-display,157.0,185.0
127,napari-layer-table,113.0,215.0
128,napari-lazy-openslide,29.0,113.0
129,napari-live-recording,36.0,39.0
130,napari-manual-transforms,18.0,32.0
131,napari-mat-file-reader,,
132,napari-mat-images,7.0,37.0
133,napari-math,34.0,21.0
134,napari-matplotlib,36.0,399.0
135,napari-medical-image-formats,15.0,51.0
136,napari-merge-stardist-masks,,99.0
137,napari-metroid,18.0,30.0
