,plugin,conda_downloads,pypi_downloads
0,Image-Composer,8.0,26.0
1,Image-Part-Selecter,11.0,24.0
2,Label-Creator,8.0,32.0
3,Layer-Data-Replace,16.0,20.0
4,Offset-Subtraction,12.0,13.0
5,PartSeg,92.0,718.0
6,PartSeg-smfish,36.0,98.0
7,Partial-Aligner,8.0,12.0
8,PlatyMatch,91.0,71.0
9,RedLionfish,143.0,179.0
10,World2Data,7.0,17.0
11,affinder,27.0,53.0
12,arcos-gui,24.0,54.0
13,avidaq,33.0,72.0
14,bbii-decon,13.0,24.0
15,beetlesafari,13.0,53.0
16,bfio,,836.0
17,blik,43.0,159.0
18,brainglobe-napari-io,41.0,373.0
19,brainreg-napari,,289.0
20,brainreg-segment,27.0,368.0
21,btrack,46.0,318.0
22,cellfinder-napari,61.0,293.0
23,cellpose-napari,26.0,175.0
24,devbio-napari,436.0,330.0
25,disease-classifier,,19.0
26,elastix-napari,,77.0
27,empanada-napari,,88.0
28,faser,,62.0
29,grabber-ift,9.0,24.0
30,guanine-crystal-analysis,11.0,11.0
31,hesperos,118.0,214.0
32,iacs-ipac-reader,18.0,29.0
33,imaxt-multiscale-plugin,,112.0
34,koopa-viz,17.0,52.0
35,mikro-napari,,178.0
36,misic-napari,28.0,138.0
37,morphometrics,128.0,60.0
38,morphometrics-engine,,23.0
39,morphospaces,,94.0
40,napari-3d-ortho-viewer,96.0,44.0
41,napari-DeepSpot,13.0,44.0
42,napari-IDS,,45.0
43,napari-IP-workflow,19.0,19.0
44,napari-ISM,28.0,20.0
45,napari-J,48.0,42.0
46,napari-LF,,15.0
47,napari-PHILOW,26.0,15.0
48,napari-PICASSO,21.0,19.0
49,napari-accelerated-pixel-and-object-classification,291.0,395.0
50,napari-affinities,,58.0
51,napari-aicsimageio,65.0,305.0
52,napari-aideveloper,,29.0
53,napari-allencell-annotator,59.0,87.0
54,napari-allencell-segmenter,39.0,160.0
55,napari-animated-gif-io,27.0,61.0
56,napari-animation,17.0,458.0
57,napari-annotate,,23.0
58,napari-annotator,14.0,14.0
59,napari-annotatorj,29.0,42.0
60,napari-aphid,,
61,napari-apple,,73.0
62,napari-apr-viewer,,32.0
63,napari-arboretum,34.0,39.0
64,napari-assistant,287.0,701.0
65,napari-assistant-plugin-generator,,14.0
66,napari-bigwarp,7.0,12.0
67,napari-bil-data-viewer,15.0,18.0
68,napari-bio-sample-data,19.0,37.0
69,napari-bioformats,24.0,101.0
70,napari-bioimageio,7.0,33.0
71,napari-bleach-correct,,13.0
72,napari-blob-detection,83.0,67.0
73,napari-blossom,14.0,120.0
74,napari-boids,,9.0
75,napari-boxmanager,,103.0
76,napari-brightness-contrast,109.0,137.0
77,napari-brushsettings,14.0,16.0
78,napari-btrack-reader,13.0,17.0
79,napari-bud-cell-segmenter,,158.0
80,napari-buds,,59.0
81,napari-calibration,,63.0
82,napari-ccp4map,14.0,16.0
83,napari-cellseg3d,40.0,38.0
84,napari-checkerboard,,29.0
85,napari-cilia-beating-frequency,,10.0
86,napari-clemreg,,21.0
87,napari-clusters-plotter,118.0,309.0
88,napari-compressed-labels-io,17.0,15.0
89,napari-conidie,,90.0
90,napari-console,740.0,18588.0
91,napari-cookiecut,,26.0
92,napari-crop,95.0,119.0
93,napari-cryofibsem-monitor,25.0,25.0
94,napari-cupy-image-processing,89.0,85.0
95,napari-curtain,89.0,59.0
96,napari-czann-segment,53.0,75.0
97,napari-czifile2,108.0,121.0
98,napari-deepfinder,,14.0
99,napari-deeplabcut,102.0,555.0
100,napari-deepmeta,15.0,44.0
101,napari-denoiseg,,33.0
102,napari-dexp,27.0,43.0
103,napari-dv,18.0,52.0
104,napari-dvid,16.0,17.0
105,napari-dzi-zarr,5.0,31.0
106,napari-elementary-numpy-operations,9.0,35.0
107,napari-em-reader,8.0,10.0
108,napari-error-reporter,30.0,17.0
109,napari-feature-classifier,6.0,25.0
110,napari-features,7.0,31.0
111,napari-filament-annotator,,39.0
112,napari-filaments,25.0,37.0
113,napari-folder-browser,82.0,80.0
114,napari-generic-SIMulator,71.0,80.0
115,napari-geojson,12.0,78.0
116,napari-gruvbox,,78.0
117,napari-hdf5-labels-io,8.0,86.0
118,napari-help,9.0,14.0
119,napari-hierarchical,,76.0
120,napari-image-stacker,31.0,52.0
121,napari-imaris-loader,44.0,72.0
122,napari-imc,38.0,119.0
123,napari-imsmicrolink,28.0,75.0
124,napari-input-visualizer,,13.0
125,napari-itk-io,29.0,46.0
126,napari-kics,16.0,30.0
127,napari-label-interpolator,,22.0
128,napari-labelimg4classification,18.0,16.0
129,napari-labeling,17.0,18.0
130,napari-labelling-assistant,16.0,35.0
131,napari-labels-overlap,35.0,29.0
132,napari-lattice,,159.0
133,napari-layer-details-display,125.0,105.0
134,napari-layer-table,56.0,57.0
135,napari-lazy-openslide,25.0,60.0
136,napari-live-flim,,17.0
137,napari-live-recording,34.0,53.0
138,napari-manual-transforms,13.0,25.0
139,napari-mat-file-reader,,21.0
140,napari-mat-images,6.0,41.0
141,napari-math,34.0,19.0
142,napari-matplotlib,28.0,153.0
143,napari-medical-image-formats,19.0,43.0
144,napari-merge-stardist-masks,,50.0
145,napari-metroid,10.0,31.0
146,napari-micromanager,22.0,49.0
147,napari-microscope,17.0,18.0
148,napari-mm3,,57.0
149,napari-molecule-reader,21.0,22.0
150,napari-mouse-controls,89.0,95.0
151,napari-mrcfile-handler,16.0,37.0
152,napari-mrcfile-reader,16.0,35.0
153,napari-mri,17.0,12.0
154,napari-multitask,15.0,12.0
155,napari-n2v,,70.0
156,napari-nD-annotator,35.0,84.0
157,napari-nasa-samples,11.0,37.0
158,napari-nd-cropper,19.0,22.0
159,napari-nd2-folder-viewer,34.0,303.0
160,napari-ndtiffs,21.0,579.0
161,napari-nikon-nd2,16.0,33.0
162,napari-nlm,,24.0
163,napari-nucleaizer,,62.0
164,napari-omaas,19.0,14.0
165,napari-ome-zarr,80.0,698.0
166,napari-omero,15.0,37.0
167,napari-organoid-counter,,28.0
168,napari-owncloud,,29.0
169,napari-patchcreator,,35.0
170,napari-pdf-reader,15.0,12.0
171,napari-pdr-reader,17.0,11.0
172,napari-pixel-correction,,22.0
173,napari-plot,57.0,44.0
174,napari-plot-profile,107.0,148.0
175,napari-plugin-search,88.0,83.0
176,napari-power-spectrum,12.0,31.0
177,napari-power-widgets,,15.0
178,napari-pram,8.0,26.0
179,napari-process-points-and-surfaces,,111.0
180,napari-proofread-brainbow,,78.0
181,napari-properties-plotter,13.0,50.0
182,napari-properties-viewer,13.0,36.0
183,napari-psf-analysis,7.0,81.0
184,napari-psf-simulator,13.0,46.0
185,napari-pssr,,16.0
186,napari-pyclesperanto-assistant,215.0,589.0
187,napari-pymeshlab,,56.0
188,napari-pystackreg,10.0,105.0
189,napari-quoll,,12.0
190,napari-rioxarray,,12.0
191,napari-roi,170.0,124.0
192,napari-roi-registration,23.0,95.0
193,napari-sairyscan,,14.0
194,napari-sc3D-viewer,19.0,28.0
195,napari-script-editor,41.0,110.0
196,napari-sdeconv,7.0,22.0
197,napari-segment,,184.0
198,napari-segment-blobs-and-things-with-membranes,245.0,522.0
199,napari-serialcellpose,,46.0
200,napari-sif-reader,,16.0
201,napari-sift-registration,17.0,19.0
202,napari-sim-processor,21.0,50.0
203,napari-simpleitk-image-processing,214.0,199.0
204,napari-skimage-regionprops,286.0,1287.0
205,napari-spacetx-explorer,8.0,38.0
206,napari-spatial-omics,6.0,38.0
207,napari-spatialdata,10.0,21.0
208,napari-splinedist,,50.0
209,napari-splineit,61.0,46.0
210,napari-spreadsheet,,68.0
211,napari-stable-diffusion,,17.0
212,napari-steinpose,,17.0
213,napari-stl-exporter,43.0,36.0
214,napari-stracking,9.0,39.0
215,napari-stress,,96.0
216,napari-subboxer,14.0,15.0
217,napari-svetlana,,477.0
218,napari-svg,1308.0,17343.0
219,napari-tabu,89.0,81.0
220,napari-text-layer,9.0,21.0
221,napari-tiler,64.0,47.0
222,napari-time-series-plotter,43.0,37.0
223,napari-time-slicer,201.0,918.0
224,napari-timeseries-opener-plugin,38.0,40.0
225,napari-tissuumaps,13.0,45.0
226,napari-tomoslice,15.0,30.0
227,napari-tracks-reader,11.0,21.0
228,napari-trait2d,23.0,31.0
229,napari-turing,30.0,42.0
230,napari-tyssue,,20.0
231,napari-umap,,21.0
232,napari-unicell,,44.0
233,napari-validate-random-label-predictions,,15.0
234,napari-vesicles-segmentation,14.0,11.0
235,napari-video-cvdask,,26.0
236,napari-vodex,,
237,napari-workflow-inspector,113.0,151.0
238,napari-workflow-optimizer,98.0,89.0
239,napari-wsireg,,29.0
240,napari-yapic-prediction,21.0,64.0
241,napari-yolov5,28.0,31.0
242,napari-zelda,11.0,48.0
243,napari_video,52.0,130.0
244,natari,15.0,46.0
245,nfinder,27.0,12.0
246,okapi-em,,122.0
