,plugin,conda_downloads,pypi_downloads
0,Image-Composer,,57.0
1,Image-Part-Selecter,,55.0
2,Label-Creator,,65.0
3,Layer-Data-Replace,,52.0
4,Offset-Subtraction,,52.0
5,PartSeg,,684.0
6,Partial-Aligner,,50.0
7,PlatyMatch,,108.0
8,RedLionfish,,203.0
9,World2Data,,54.0
10,affinder,304.0,84.0
11,arcos-gui,494.0,179.0
12,avidaq,,233.0
13,bbii-decon,146.0,94.0
14,beetlesafari,149.0,150.0
15,bfio,,1385.0
16,blik,182.0,79.0
17,brainglobe-napari-io,299.0,511.0
18,brainreg-napari,,105.0
19,brainreg-segment,188.0,626.0
20,btrack,322.0,294.0
21,cellfinder-napari,294.0,252.0
22,cellpose-napari,359.0,297.0
23,devbio-napari,1994.0,329.0
24,disease-classifier,,41.0
25,elastix-napari,,108.0
26,empanada-napari,,175.0
27,faser,,81.0
28,grabber-ift,152.0,61.0
29,guanine-crystal-analysis,,66.0
30,hesperos,367.0,528.0
31,iacs-ipac-reader,294.0,47.0
32,imaxt-multiscale-plugin,,161.0
33,misic-napari,152.0,63.0
34,morphometrics,170.0,106.0
35,napari-3d-ortho-viewer,213.0,109.0
36,napari-DeepSpot,,57.0
37,napari-IDS,,53.0
38,napari-IP-workflow,,99.0
39,napari-ISM,,30.0
40,napari-J,,62.0
41,napari-LF,,106.0
42,napari-PHILOW,,48.0
43,napari-PICASSO,,83.0
44,napari-accelerated-pixel-and-object-classification,1442.0,441.0
45,napari-affinities,,78.0
46,napari-aicsimageio,267.0,446.0
47,napari-aideveloper,,118.0
48,napari-allencell-annotator,,159.0
49,napari-allencell-segmenter,156.0,114.0
50,napari-animated-gif-io,293.0,65.0
51,napari-animation,201.0,226.0
52,napari-annotator,187.0,53.0
53,napari-annotatorj,214.0,145.0
54,napari-apple,,51.0
55,napari-apr-viewer,,69.0
56,napari-arboretum,303.0,67.0
57,napari-assistant,2312.0,1012.0
58,napari-bigwarp,255.0,41.0
59,napari-bil-data-viewer,158.0,54.0
60,napari-bio-sample-data,,260.0
61,napari-bioformats,50.0,76.0
62,napari-bioimageio,186.0,200.0
63,napari-blob-detection,216.0,145.0
64,napari-blossom,256.0,41.0
65,napari-boids,,
66,napari-brightness-contrast,360.0,170.0
67,napari-brushsettings,150.0,37.0
68,napari-btrack-reader,152.0,29.0
69,napari-buds,,
70,napari-ccp4map,149.0,29.0
71,napari-cellseg3d,187.0,180.0
72,napari-checkerboard,,35.0
73,napari-cilia-beating-frequency,,82.0
74,napari-clemreg,,84.0
75,napari-clusters-plotter,832.0,287.0
76,napari-compressed-labels-io,148.0,29.0
77,napari-console,3213.0,18801.0
78,napari-crop,257.0,231.0
79,napari-cryofibsem-monitor,151.0,26.0
80,napari-cupy-image-processing,937.0,248.0
81,napari-curtain,199.0,125.0
82,napari-czann-segment,,382.0
83,napari-czifile2,493.0,201.0
84,napari-deepfinder,,64.0
85,napari-deeplabcut,776.0,103.0
86,napari-deepmeta,149.0,145.0
87,napari-dexp,320.0,62.0
88,napari-dv,147.0,55.0
89,napari-dvid,150.0,30.0
90,napari-dzi-zarr,147.0,37.0
91,napari-elementary-numpy-operations,148.0,55.0
92,napari-em-reader,148.0,29.0
93,napari-error-reporter,309.0,56.0
94,napari-feature-classifier,153.0,40.0
95,napari-features,150.0,41.0
96,napari-filaments,192.0,235.0
97,napari-folder-browser,202.0,
98,napari-generic-SIMulator,,
99,napari-geojson,148.0,72.0
100,napari-hdf5-labels-io,152.0,69.0
101,napari-help,,
102,napari-image-stacker,301.0,73.0
103,napari-imaris-loader,594.0,127.0
104,napari-imc,454.0,
105,napari-imsmicrolink,459.0,87.0
106,napari-itk-io,310.0,96.0
107,napari-kics,271.0,82.0
108,napari-labelimg4classification,150.0,43.0
109,napari-labeling,257.0,43.0
110,napari-labelling-assistant,148.0,59.0
111,napari-labels-overlap,424.0,52.0
112,napari-lattice,,178.0
113,napari-layer-details-display,560.0,238.0
114,napari-layer-table,251.0,56.0
115,napari-lazy-openslide,298.0,141.0
116,napari-live-recording,153.0,80.0
117,napari-manual-transforms,188.0,
118,napari-mat-images,156.0,
119,napari-math,302.0,
120,napari-matplotlib,324.0,132.0
121,napari-medical-image-formats,157.0,68.0
122,napari-metroid,,
123,napari-micromanager,308.0,
124,napari-microscope,148.0,28.0
125,napari-mm3,,110.0
126,napari-molecule-reader,298.0,34.0
127,napari-mouse-controls,208.0,
128,napari-mrcfile-handler,149.0,
129,napari-mrcfile-reader,152.0,
130,napari-mri,148.0,
131,napari-multitask,153.0,38.0
132,napari-nD-annotator,,
133,napari-nasa-samples,,
134,napari-nd-cropper,161.0,
135,napari-nd2-folder-viewer,,
136,napari-ndtiffs,156.0,
137,napari-nikon-nd2,151.0,
138,napari-nlm,,
139,napari-nucleaizer,,
140,napari-omaas,,
141,napari-ome-zarr,1086.0,
142,napari-omero,160.0,
143,napari-organoid-counter,,
144,napari-patchcreator,,
145,napari-pdf-reader,153.0,
146,napari-pdr-reader,,
147,napari-plot,610.0,
148,napari-plot-profile,210.0,
149,napari-plugin-search,204.0,
150,napari-power-spectrum,151.0,
151,napari-pram,274.0,
152,napari-process-points-and-surfaces,,
153,napari-properties-plotter,144.0,
154,napari-properties-viewer,145.0,
155,napari-psf-analysis,256.0,
156,napari-psf-simulator,250.0,
157,napari-pyclesperanto-assistant,671.0,
158,napari-pymeshlab,,
159,napari-pystackreg,79.0,
160,napari-roi,1043.0,
161,napari-roi-registration,425.0,
162,napari-sairyscan,,
163,napari-sc3D-viewer,,
164,napari-script-editor,298.0,
165,napari-sdeconv,154.0,
166,napari-segment-blobs-and-things-with-membranes,1455.0,
167,napari-serialcellpose,,
168,napari-sift-registration,,
169,napari-sim-processor,254.0,
170,napari-simpleitk-image-processing,1225.0,
171,napari-skimage-regionprops,2156.0,
172,napari-spacetx-explorer,152.0,
173,napari-spatial-omics,150.0,
174,napari-spatialdata,,
175,napari-splineit,189.0,
176,napari-stl-exporter,462.0,
177,napari-stracking,,
178,napari-stress,,
179,napari-subboxer,150.0,
180,napari-svg,3311.0,
181,napari-tabu,208.0,
182,napari-text-layer,154.0,
183,napari-tiler,63.0,
184,napari-time-series-plotter,301.0,
185,napari-time-slicer,1383.0,
186,napari-timeseries-opener-plugin,273.0,
187,napari-tissuumaps,148.0,
188,napari-tomoslice,145.0,
189,napari-tracks-reader,144.0,
190,napari-trait2d,,
191,napari-turing,,
