,plugin,conda_downloads,pypi_downloads
0,napari-bud-cell-segmenter,,30.0
1,napari-nibabel,,16.0
2,napari-molecule-reader,36.0,21.0
3,napari-obj,,11.0
4,napari-DeepSpot,21.0,39.0
5,napari-hello,,12.0
6,napari-sim-processor,29.0,338.0
7,napari-filaments,30.0,26.0
8,napari-plugin-search,225.0,97.0
9,napari-clusters-plotter,85.0,1017.0
10,napari-vesicles-segmentation,13.0,14.0
11,napari-math,26.0,18.0
12,napari-crop,27.0,223.0
13,napari-nd2-folder-viewer,26.0,61.0
14,ortho-view-napari,,20.0
15,napari-allencell-annotator,53.0,47.0
16,mikro-napari,,91.0
17,vollseg-napari,28.0,337.0
18,napari-dexp,29.0,19.0
19,napari-ndev,,24.0
20,napari-aphid,,45.0
21,napari-segment-blobs-and-things-with-membranes,188.0,1423.0
22,napari-svetlana,,72.0
23,cut-detector,,
24,napari-curtain,223.0,86.0
25,MSI-Explorer,,88.0
26,blik,35.0,130.0
27,napari-aideveloper,,30.0
28,napari-animated-gif-io,26.0,47.0
29,napari-psf-analysis,17.0,152.0
30,natari,20.0,42.0
31,napari-generic-SIMulator,55.0,82.0
32,napari-feature-classifier,14.0,68.0
33,napari-spatialdata,19.0,135.0
34,napari-openfibsem,,
35,napari-imc,58.0,129.0
36,napari-organoid-counter,,63.0
37,napari-assistant,361.0,1641.0
38,World2Data,19.0,7.0
39,napari-pram,15.0,25.0
40,napari-n2v,,188.0
41,napari-hierarchical,,12.0
42,napari-simpleitk-image-processing,165.0,196.0
43,napari-cellseg3d,46.0,31.0
44,napari-mrcfile-handler,21.0,41.0
45,napari-validate-random-label-predictions,,10.0
46,napari-console,84.0,24898.0
47,iacs-ipac-reader,26.0,18.0
48,napari-imagej,,73.0
49,empanada-napari,,60.0
50,the-segmentation-game,245.0,78.0
51,napari-pdr-reader,15.0,13.0
52,napari-IDS,,23.0
53,napari-affinities,,22.0
54,napari-omaas,20.0,14.0
55,napari-brushsettings,16.0,17.0
56,waver,31.0,25.0
57,napari-workflow-inspector,277.0,247.0
58,beetlesafari,13.0,13.0
59,napari-annotator,15.0,40.0
60,napari-czifile2,260.0,139.0
61,napari-ehooke,,15.0
62,napari-bioimageio,18.0,17.0
63,napari-splinedist,,28.0
64,napari-conference,,
65,napari-layer-table,38.0,43.0
66,napari-wsi,,96.0
67,napari-itk-io,27.0,93.0
68,napari-power-spectrum,16.0,20.0
69,vessel-express-napari,15.0,7.0
70,morphometrics-engine,,17.0
71,napari-vedo-bridge,,49.0
72,napari-turing,25.0,22.0
73,Partial-Aligner,17.0,7.0
74,napari-stress,,256.0
75,napari-workshop-plugin,,
76,napari-simpleannotate,,
77,napari-quoll,,10.0
78,napari-parallel,,
79,napari-apple,,34.0
80,napari-stable-diffusion,,18.0
81,napari-3d-counter,,
82,napari-yolov5,39.0,25.0
83,napari-labelling-assistant,15.0,26.0
84,napari-checkerboard,,25.0
85,napari-imsmicrolink,46.0,66.0
86,napari-brainbow-diagnose,,36.0
87,napari-power-widgets,,10.0
88,napari-nasa-samples,15.0,17.0
89,napari-roi-registration,34.0,45.0
90,napari-folder-browser,228.0,90.0
91,napari-live-recording,28.0,80.0
92,napari-dvid,11.0,17.0
93,napari-annotatorj,29.0,33.0
94,napari-caphid,,75.0
95,napari-process-points-and-surfaces,,316.0
96,napari-clipboard,,115.0
97,pycudadecon,62.0,31.0
98,napari-cell-centroid-annotator,,13.0
99,napari-seedseg,,12.0
100,eats-worm,,7.0
101,napari-em-reader,15.0,12.0
102,recOrder-napari,56.0,383.0
103,napari-labelimg4classification,16.0,22.0
104,napari-roi,115.0,122.0
105,PartSeg-smfish,34.0,21.0
106,napari-tomoslice,20.0,26.0
107,napari-cryoet-data-portal,,131.0
108,napari-labeling,15.0,29.0
109,napari-time-slicer,390.0,1087.0
110,napari-indices,,26.0
111,napari-qrcode,,10.0
112,napari-arboretum,45.0,85.0
113,napari-sam,,424.0
114,napari-features,18.0,30.0
115,allencell-ml-segmenter,,16.0
116,napari-micromanager,33.0,27.0
117,napari-mri,13.0,19.0
118,napari-medical-image-formats,16.0,31.0
119,napari-rioxarray,,13.0
120,napari-script-editor,58.0,96.0
121,napari-spacetx-explorer,15.0,42.0
122,napari-microtubule-analyzer,,
123,napari-graph,,346.0
124,napari-PHILOW,20.0,17.0
125,napari-sc3D-viewer,15.0,60.0
126,napari-bigfish,,24.0
127,napari-rembg,,
128,nucleaizer-backend,,28.0
129,hesperos,99.0,302.0
130,napari-tiler,32.0,51.0
131,faser,,10.0
132,napari-layer-details-display,42.0,108.0
133,napari-meshio,,14.0
134,napari-figure,,22.0
135,napari-locpix,,13.0
136,napari-labels-overlap,34.0,24.0
137,napari-annotate,,34.0
138,napari-large-image-importer,,25.0
139,napari-patchcreator,,33.0
140,napari-labelprop,,16.0
141,napari-mat-images,18.0,25.0
142,napari-result-stack,,10.0
143,napari-nanopyx,,299.0
144,brainreg-napari,,301.0
145,napari-PICASSO,16.0,18.0
146,psfmodels,116.0,339.0
147,zarr-tools,,20.0
148,misic-napari,36.0,72.0
149,napari-bfio,,141.0
150,napari-multitask,15.0,20.0
151,napari-tracks-reader,16.0,27.0
152,napari-boids,,9.0
153,test-detect-spots,,7.0
154,napari-stl-exporter,53.0,300.0
155,napari-ndtiffs,79.0,1229.0
156,Offset-Subtraction,14.0,14.0
157,Layer-Data-Replace,17.0,17.0
158,napari-unicell,,12.0
159,napari-spreadsheet,,217.0
160,napari-tomodl,,26.0
161,napari-accelerated-pixel-and-object-classification,216.0,248.0
162,napari-compressed-labels-io,20.0,17.0
163,Image-Part-Selecter,16.0,19.0
164,napari-animation,27.0,568.0
165,napari-omero,16.0,36.0
166,napari-segment,,51.0
167,napari-workshop-browser,,23.0
168,napari-nd-cropper,18.0,17.0
169,cellpose-napari,42.0,165.0
170,napari-ufish,,
171,palmari,99.0,58.0
172,napari-serialcellpose,,36.0
173,napari-pystackreg,18.0,89.0
174,napari-elementary-numpy-operations,17.0,35.0
175,napari-wsireg,,22.0
176,napari-umap,,13.0
177,napari-steinpose,,7.0
178,napari-dzi-zarr,15.0,20.0
179,napari-pixel-correction,,13.0
180,cellfinder-napari,60.0,502.0
181,napari-tissuumaps,14.0,33.0
182,napari-file-watcher,,37.0
183,napari-tabu,223.0,105.0
184,RedLionfish,109.0,148.0
185,napari-SAM4IS,,32.0
186,napari-IP-workflow,19.0,15.0
187,nfinder,35.0,15.0
188,napari-geojson,24.0,62.0
189,napari-J,39.0,47.0
190,napari-amdtrk,,16.0
191,napari-plot-profile,246.0,181.0
192,napari-clemreg,,14.0
193,anchor-droplet-chip,,67.0
194,napari-tiledb-bioimg,,14.0
195,PlatyMatch,221.0,74.0
196,in-silico-fate-mapping,,19.0
197,napari-boardgame-maker,,215.0
198,snouty-viewer,,113.0
199,brainrender-napari,,
200,napari-properties-plotter,13.0,27.0
201,avidaq,35.0,20.0
202,brainglobe-napari-io,67.0,1589.0
203,napari-lattice,,40.0
204,napari-gruvbox,,11.0
205,napari-video-cvdask,,26.0
206,napari-imaris-loader,76.0,93.0
207,napari-chatgpt,,289.0
208,napari-sif-reader,,12.0
209,morphospaces,,10.0
210,napari-apr-viewer,,23.0
211,guanine-crystal-analysis,16.0,4.0
212,napari-spatial-omics,13.0,40.0
213,brainreg-segment,23.0,794.0
214,napari-flim-phasor-plotter,,189.0
215,napari-bacseg,,160.0
216,napari-nD-annotator,37.0,84.0
217,napari-blob-detection,225.0,76.0
218,napari-time-series-plotter,40.0,70.0
219,napari-cupy-image-processing,99.0,251.0
220,napari-LF,,21.0
221,napari-correct-drift,,30.0
222,napari-bbox,,32.0
223,napari_video,52.0,75.0
224,napari-brainways,,487.0
225,napari-stracking,15.0,40.0
226,napari-cryofibsem-monitor,30.0,11.0
227,arcos-gui,28.0,28.0
228,napari-metroid,15.0,11.0
229,napari-bigwarp,12.0,17.0
230,napari-image-stacker,28.0,44.0
231,acquifer-napari,,57.0
232,napari-denoiseg,,22.0
233,napari-help,14.0,13.0
234,vollseg-napari-mtrack,,83.0
235,napari-pymeshlab,,35.0
236,napari-nucleaizer,,34.0
237,napari-pssr,,7.0
238,napari-error-reporter,34.0,11.0
239,grabber-ift,10.0,13.0
240,workshop-demo,17.0,10.0
241,napari-brightness-contrast,260.0,151.0
242,disease-classifier,,8.0
243,napari-zulip,,12.0
244,morphometrics,69.0,63.0
245,napari-nikon-nd2,19.0,44.0
246,napari-cookiecut,,15.0
247,napari-cursor-tracker,,
248,napari-svg,71.0,48221.0
249,Large-Image-Viewer,,280.0
250,napari-subboxer,18.0,11.0
251,napari-proofread-brainbow,,61.0
252,napari-trait2d,34.0,20.0
253,napari-text-layer,11.0,17.0
254,napari-conidie,,7.0
255,napari-merge-stardist-masks,,115.0
256,Label-Creator,16.0,28.0
257,napari-aicsimageio,91.0,428.0
258,napari-dv,16.0,32.0
