,plugin,conda_downloads,pypi_downloads
0,Image-Composer,,103.0
1,Image-Part-Selecter,,95.0
2,Label-Creator,,111.0
3,Layer-Data-Replace,,97.0
4,Offset-Subtraction,,89.0
5,PartSeg,,1329.0
6,Partial-Aligner,,94.0
7,PlatyMatch,,126.0
8,RedLionfish,,172.0
9,World2Data,,88.0
10,affinder,65.0,54.0
11,arcos-gui,65.0,53.0
12,avidaq,56.0,121.0
13,bbii-decon,23.0,97.0
14,beetlesafari,32.0,109.0
15,bfio,,1001.0
16,blik,34.0,43.0
17,brainglobe-napari-io,55.0,282.0
18,brainreg-napari,,63.0
19,brainreg-segment,64.0,308.0
20,btrack,220.0,281.0
21,cellfinder-napari,56.0,176.0
22,cellpose-napari,99.0,303.0
23,devbio-napari,423.0,264.0
24,disease-classifier,,17.0
25,elastix-napari,,147.0
26,empanada-napari,,391.0
27,faser,,50.0
28,grabber-ift,19.0,94.0
29,guanine-crystal-analysis,54.0,44.0
30,hesperos,106.0,144.0
31,iacs-ipac-reader,40.0,106.0
32,imaxt-multiscale-plugin,,171.0
33,misic-napari,24.0,123.0
34,morphometrics,41.0,66.0
35,napari-3d-ortho-viewer,77.0,127.0
36,napari-DeepSpot,,112.0
37,napari-IDS,,99.0
38,napari-IP-workflow,,25.0
39,napari-ISM,,18.0
40,napari-J,,110.0
41,napari-LF,,47.0
42,napari-PHILOW,,114.0
43,napari-PICASSO,,27.0
44,napari-accelerated-pixel-and-object-classification,265.0,1634.0
45,napari-affinities,,39.0
46,napari-aicsimageio,176.0,443.0
47,napari-aideveloper,,39.0
48,napari-allencell-annotator,88.0,752.0
49,napari-allencell-segmenter,21.0,371.0
50,napari-animated-gif-io,44.0,113.0
51,napari-animation,68.0,382.0
52,napari-annotator,37.0,25.0
53,napari-annotatorj,53.0,64.0
54,napari-apple,,15.0
55,napari-apr-viewer,,114.0
56,napari-arboretum,40.0,43.0
57,napari-assistant,406.0,937.0
58,napari-bigwarp,23.0,91.0
59,napari-bil-data-viewer,18.0,103.0
60,napari-bio-sample-data,,56.0
61,napari-bioformats,48.0,148.0
62,napari-bioimageio,26.0,45.0
63,napari-blob-detection,70.0,201.0
64,napari-blossom,28.0,14.0
65,napari-boids,,117.0
66,napari-brightness-contrast,84.0,253.0
67,napari-brushsettings,20.0,85.0
68,napari-btrack-reader,22.0,83.0
69,napari-buds,,279.0
70,napari-calibration,,471.0
71,napari-ccp4map,24.0,86.0
72,napari-cellseg3d,135.0,128.0
73,napari-checkerboard,,104.0
74,napari-cilia-beating-frequency,,29.0
75,napari-clemreg,,94.0
76,napari-clusters-plotter,222.0,372.0
77,napari-compressed-labels-io,16.0,86.0
78,napari-console,2508.0,18627.0
79,napari-crop,101.0,251.0
80,napari-cryofibsem-monitor,23.0,86.0
81,napari-cupy-image-processing,154.0,230.0
82,napari-curtain,66.0,200.0
83,napari-czann-segment,103.0,74.0
84,napari-czifile2,113.0,280.0
85,napari-deepfinder,,25.0
86,napari-deeplabcut,139.0,195.0
87,napari-deepmeta,23.0,57.0
88,napari-dexp,45.0,45.0
89,napari-dv,21.0,47.0
90,napari-dvid,13.0,86.0
91,napari-dzi-zarr,25.0,94.0
92,napari-elementary-numpy-operations,22.0,114.0
93,napari-em-reader,16.0,83.0
94,napari-error-reporter,40.0,35.0
95,napari-feature-classifier,26.0,24.0
96,napari-features,19.0,103.0
97,napari-filaments,86.0,44.0
98,napari-folder-browser,62.0,208.0
99,napari-generic-SIMulator,,75.0
100,napari-geojson,16.0,77.0
101,napari-hdf5-labels-io,19.0,53.0
102,napari-help,51.0,49.0
103,napari-image-stacker,38.0,125.0
104,napari-imaris-loader,78.0,164.0
105,napari-imc,73.0,128.0
106,napari-imsmicrolink,64.0,70.0
107,napari-itk-io,42.0,142.0
108,napari-kics,28.0,114.0
109,napari-label-interpolator,,
110,napari-labelimg4classification,22.0,90.0
111,napari-labeling,24.0,32.0
112,napari-labelling-assistant,23.0,107.0
113,napari-labels-overlap,51.0,38.0
114,napari-lattice,,44.0
115,napari-layer-details-display,126.0,223.0
116,napari-layer-table,26.0,30.0
117,napari-lazy-openslide,38.0,129.0
118,napari-live-recording,23.0,68.0
