,plugin,conda_downloads,pypi_downloads
0,napari-bud-cell-segmenter,,19.0
1,napari-nibabel,,108.0
2,napari-molecule-reader,50.0,15.0
3,napari-obj,,149.0
4,napari-DeepSpot,29.0,18.0
5,napari-hello,,80.0
6,napari-sim-processor,52.0,333.0
7,napari-filaments,51.0,10.0
8,napari-plugin-search,208.0,54.0
9,napari-clusters-plotter,147.0,239.0
10,napari-vesicles-segmentation,25.0,13.0
11,napari-math,48.0,16.0
12,napari-crop,49.0,107.0
13,napari-nd2-folder-viewer,50.0,58.0
14,napari-allencell-annotator,105.0,52.0
15,mikro-napari,,104.0
16,vollseg-napari,39.0,415.0
17,napari-dexp,55.0,16.0
18,napari-ndev,,154.0
19,napari-aphid,,50.0
20,napari-segment-blobs-and-things-with-membranes,306.0,252.0
21,napari-svetlana,,176.0
22,napari-curtain,209.0,40.0
23,MSI-Explorer,,
24,blik,84.0,61.0
25,napari-aideveloper,,15.0
26,napari-animated-gif-io,56.0,42.0
27,napari-psf-analysis,26.0,54.0
28,natari,26.0,26.0
29,napari-generic-SIMulator,101.0,214.0
30,napari-feature-classifier,23.0,37.0
31,napari-spatialdata,25.0,25.0
32,napari-imc,90.0,61.0
33,napari-organoid-counter,,88.0
34,napari-assistant,493.0,692.0
35,World2Data,18.0,11.0
36,napari-pram,24.0,24.0
37,napari-n2v,,47.0
38,napari-hierarchical,,16.0
39,napari-simpleitk-image-processing,266.0,175.0
40,napari-cellseg3d,78.0,367.0
41,napari-mrcfile-handler,24.0,33.0
42,napari-validate-random-label-predictions,,26.0
43,napari-console,118.0,24270.0
44,iacs-ipac-reader,54.0,14.0
45,napari-imagej,,
46,empanada-napari,,104.0
47,the-segmentation-game,219.0,48.0
48,napari-pdr-reader,28.0,4.0
49,napari-IDS,,18.0
50,napari-affinities,,34.0
51,napari-omaas,27.0,16.0
52,napari-brushsettings,26.0,9.0
53,waver,33.0,19.0
54,napari-workflow-inspector,281.0,80.0
55,beetlesafari,26.0,30.0
56,napari-annotator,26.0,187.0
57,napari-czifile2,265.0,100.0
58,napari-ehooke,,63.0
59,napari-bioimageio,29.0,16.0
60,napari-splinedist,,23.0
61,napari-layer-table,84.0,35.0
62,napari-wsi,,43.0
63,napari-itk-io,50.0,159.0
64,napari-power-spectrum,26.0,11.0
65,vessel-express-napari,19.0,80.0
66,morphometrics-engine,,11.0
67,napari-vedo-bridge,,
68,napari-turing,50.0,22.0
69,Partial-Aligner,25.0,11.0
70,napari-stress,,84.0
71,napari-quoll,,7.0
72,napari-apple,,9.0
73,napari-stable-diffusion,,19.0
74,napari-yolov5,54.0,26.0
75,napari-labelling-assistant,29.0,31.0
76,napari-checkerboard,,23.0
77,napari-imsmicrolink,75.0,48.0
78,napari-brainbow-diagnose,,77.0
79,napari-power-widgets,,8.0
80,napari-nasa-samples,25.0,23.0
81,napari-roi-registration,51.0,48.0
82,napari-folder-browser,206.0,59.0
83,napari-live-recording,48.0,47.0
84,napari-dvid,23.0,7.0
85,napari-annotatorj,49.0,37.0
86,napari-caphid,,
87,napari-process-points-and-surfaces,,290.0
88,napari-clipboard,,
89,pycudadecon,106.0,22.0
90,napari-cell-centroid-annotator,,27.0
91,napari-seedseg,,
92,eats-worm,,
93,napari-em-reader,25.0,23.0
94,recOrder-napari,109.0,209.0
95,napari-labelimg4classification,25.0,14.0
