,plugin,conda_downloads,pypi_downloads
0,napari-bud-cell-segmenter,,21.0
1,napari-nibabel,,33.0
2,napari-molecule-reader,11.0,12.0
3,napari-obj,,19.0
4,napari-DeepSpot,12.0,17.0
5,napari-hello,,14.0
6,napari-sim-processor,15.0,391.0
7,napari-filaments,16.0,8.0
8,napari-plugin-search,153.0,92.0
9,napari-clusters-plotter,53.0,487.0
10,napari-vesicles-segmentation,6.0,8.0
11,napari-math,13.0,6.0
12,napari-crop,16.0,135.0
13,napari-nd2-folder-viewer,16.0,51.0
14,napari-allencell-annotator,34.0,92.0
15,mikro-napari,,275.0
16,vollseg-napari,17.0,179.0
17,napari-dexp,15.0,27.0
18,napari-ndev,,51.0
19,napari-aphid,,36.0
20,napari-segment-blobs-and-things-with-membranes,92.0,434.0
21,napari-svetlana,,133.0
22,napari-curtain,150.0,61.0
23,MSI-Explorer,,
24,blik,23.0,57.0
25,napari-aideveloper,,5.0
26,napari-animated-gif-io,19.0,27.0
27,napari-psf-analysis,8.0,42.0
28,natari,6.0,36.0
29,napari-generic-SIMulator,30.0,245.0
30,napari-feature-classifier,8.0,188.0
31,napari-spatialdata,7.0,364.0
32,napari-imc,38.0,85.0
33,napari-organoid-counter,,37.0
34,napari-assistant,160.0,604.0
35,World2Data,6.0,3.0
36,napari-pram,8.0,14.0
37,napari-n2v,,56.0
38,napari-hierarchical,,9.0
39,napari-simpleitk-image-processing,79.0,257.0
40,napari-cellseg3d,23.0,84.0
41,napari-mrcfile-handler,9.0,21.0
42,napari-validate-random-label-predictions,,3.0
43,napari-console,75.0,28946.0
44,iacs-ipac-reader,12.0,22.0
45,napari-imagej,,130.0
46,empanada-napari,,101.0
47,the-segmentation-game,165.0,68.0
48,napari-pdr-reader,7.0,6.0
49,napari-IDS,,10.0
50,napari-affinities,,39.0
51,napari-omaas,9.0,11.0
52,napari-brushsettings,7.0,16.0
53,waver,20.0,17.0
54,napari-workflow-inspector,171.0,109.0
55,beetlesafari,9.0,37.0
56,napari-annotator,9.0,55.0
57,napari-czifile2,168.0,124.0
58,napari-ehooke,,52.0
59,napari-bioimageio,9.0,16.0
60,napari-splinedist,,23.0
61,napari-layer-table,21.0,325.0
62,napari-wsi,,20.0
63,napari-itk-io,16.0,286.0
64,napari-power-spectrum,6.0,14.0
65,vessel-express-napari,9.0,31.0
66,morphometrics-engine,,18.0
67,napari-vedo-bridge,,
68,napari-turing,14.0,18.0
69,Partial-Aligner,7.0,6.0
70,napari-stress,,295.0
71,napari-quoll,,6.0
72,napari-apple,,6.0
73,napari-stable-diffusion,,8.0
74,napari-yolov5,19.0,27.0
75,napari-labelling-assistant,5.0,12.0
76,napari-checkerboard,,21.0
77,napari-imsmicrolink,18.0,68.0
78,napari-brainbow-diagnose,,59.0
79,napari-power-widgets,,10.0
80,napari-nasa-samples,8.0,10.0
81,napari-roi-registration,15.0,16.0
82,napari-folder-browser,152.0,72.0
83,napari-live-recording,12.0,8.0
84,napari-dvid,8.0,11.0
85,napari-annotatorj,17.0,41.0
86,napari-caphid,,
87,napari-process-points-and-surfaces,,282.0
88,napari-clipboard,,
89,pycudadecon,58.0,24.0
90,napari-cell-centroid-annotator,,16.0
91,napari-seedseg,,156.0
92,eats-worm,,
93,napari-em-reader,7.0,6.0
94,recOrder-napari,30.0,79.0
95,napari-labelimg4classification,6.0,7.0
96,napari-roi,57.0,249.0
97,PartSeg-smfish,18.0,13.0
98,napari-tomoslice,9.0,27.0
99,napari-cryoet-data-portal,,
100,napari-labeling,7.0,12.0
101,napari-time-slicer,231.0,677.0
102,napari-indices,,254.0
103,napari-qrcode,,8.0
104,napari-arboretum,24.0,24.0
105,napari-sam,,1247.0
106,napari-features,8.0,27.0
107,allencell-ml-segmenter,,53.0
108,napari-micromanager,15.0,105.0
109,napari-mri,9.0,4.0
110,napari-medical-image-formats,11.0,21.0
111,napari-rioxarray,,7.0
112,napari-script-editor,27.0,96.0
113,napari-spacetx-explorer,6.0,39.0
114,napari-graph,,
115,napari-PHILOW,7.0,13.0
116,napari-sc3D-viewer,8.0,23.0
117,napari-bigfish,,45.0
118,nucleaizer-backend,,25.0
119,hesperos,61.0,374.0
120,napari-tiler,49.0,20.0
121,faser,,50.0
122,napari-layer-details-display,21.0,84.0
123,napari-meshio,,10.0
124,napari-figure,,
125,napari-locpix,,14.0
126,napari-labels-overlap,12.0,14.0
127,napari-annotate,,18.0
128,napari-large-image-importer,,19.0
129,napari-patchcreator,,28.0
130,napari-labelprop,,
131,napari-mat-images,7.0,15.0
132,napari-result-stack,,4.0
133,napari-nanopyx,,104.0
134,brainreg-napari,,123.0
135,napari-PICASSO,10.0,10.0
136,psfmodels,169.0,1162.0
137,zarr-tools,,113.0
138,misic-napari,23.0,71.0
139,napari-bfio,,
140,napari-multitask,7.0,2.0
141,napari-tracks-reader,6.0,13.0
142,napari-boids,,2.0
143,napari-stl-exporter,27.0,65.0
144,napari-ndtiffs,21.0,818.0
145,Offset-Subtraction,7.0,8.0
146,Layer-Data-Replace,11.0,6.0
147,napari-unicell,,23.0
148,napari-spreadsheet,,35.0
149,napari-tomodl,,94.0
150,napari-accelerated-pixel-and-object-classification,112.0,268.0
151,napari-compressed-labels-io,9.0,10.0
152,Image-Part-Selecter,8.0,15.0
153,napari-animation,14.0,498.0
154,napari-omero,6.0,71.0
155,napari-segment,,58.0
156,napari-workshop-browser,,
157,napari-nd-cropper,10.0,5.0
158,cellpose-napari,30.0,260.0
159,palmari,47.0,221.0
160,napari-serialcellpose,,48.0
161,napari-pystackreg,8.0,103.0
162,napari-elementary-numpy-operations,10.0,10.0
163,napari-wsireg,,24.0
164,napari-umap,,10.0
165,napari-steinpose,,10.0
166,napari-dzi-zarr,11.0,10.0
167,napari-pixel-correction,,18.0
168,cellfinder-napari,34.0,191.0
169,napari-tissuumaps,6.0,18.0
170,napari-file-watcher,,29.0
171,napari-tabu,151.0,86.0
172,RedLionfish,130.0,130.0
173,napari-SAM4IS,,171.0
174,napari-IP-workflow,8.0,10.0
175,nfinder,19.0,5.0
176,napari-geojson,13.0,72.0
177,napari-J,20.0,42.0
178,napari-amdtrk,,91.0
179,napari-plot-profile,161.0,130.0
180,napari-clemreg,,80.0
181,anchor-droplet-chip,,290.0
182,napari-tiledb-bioimg,,123.0
183,PlatyMatch,153.0,72.0
184,in-silico-fate-mapping,,33.0
185,napari-boardgame-maker,,
186,snouty-viewer,,52.0
187,napari-properties-plotter,8.0,22.0
188,avidaq,20.0,42.0
189,brainglobe-napari-io,31.0,647.0
190,napari-lattice,,65.0
191,napari-gruvbox,,14.0
192,napari-video-cvdask,,25.0
193,bfio,,1473.0
