,plugin,conda_downloads,pypi_downloads
0,napari-bud-cell-segmenter,,39.0
1,napari-nibabel,,74.0
2,napari-molecule-reader,18.0,26.0
3,napari-obj,,18.0
4,napari-DeepSpot,16.0,45.0
5,napari-hello,,8.0
6,napari-sim-processor,21.0,311.0
7,napari-filaments,19.0,145.0
8,napari-plugin-search,203.0,136.0
9,napari-clusters-plotter,60.0,368.0
10,napari-vesicles-segmentation,10.0,10.0
11,napari-math,18.0,31.0
12,napari-crop,19.0,361.0
13,napari-nd2-folder-viewer,16.0,119.0
14,napari-allencell-annotator,36.0,100.0
15,mikro-napari,,296.0
16,vollseg-napari,20.0,428.0
17,napari-dexp,18.0,39.0
18,napari-ndev,,117.0
19,napari-aphid,,127.0
20,napari-segment-blobs-and-things-with-membranes,114.0,1042.0
21,napari-svetlana,,271.0
22,napari-curtain,202.0,125.0
23,MSI-Explorer,,
24,blik,43.0,72.0
25,napari-aideveloper,,40.0
26,napari-animated-gif-io,24.0,45.0
27,napari-psf-analysis,10.0,86.0
28,natari,9.0,40.0
29,napari-generic-SIMulator,41.0,193.0
30,napari-feature-classifier,13.0,74.0
31,napari-spatialdata,10.0,181.0
32,napari-imc,38.0,166.0
33,napari-organoid-counter,,123.0
34,napari-assistant,202.0,1397.0
35,World2Data,10.0,12.0
36,napari-pram,13.0,33.0
37,napari-n2v,,94.0
38,napari-hierarchical,,12.0
39,napari-simpleitk-image-processing,107.0,300.0
40,napari-cellseg3d,24.0,81.0
41,napari-mrcfile-handler,9.0,46.0
42,napari-validate-random-label-predictions,,18.0
43,napari-console,78.0,27706.0
44,iacs-ipac-reader,18.0,28.0
45,napari-imagej,,56.0
46,empanada-napari,,97.0
47,the-segmentation-game,219.0,141.0
48,napari-pdr-reader,8.0,14.0
49,napari-IDS,,32.0
50,napari-affinities,,63.0
51,napari-omaas,13.0,24.0
52,napari-brushsettings,12.0,21.0
53,waver,24.0,43.0
54,napari-workflow-inspector,235.0,264.0
55,beetlesafari,19.0,37.0
56,napari-annotator,8.0,64.0
57,napari-czifile2,227.0,200.0
58,napari-ehooke,,51.0
59,napari-bioimageio,11.0,34.0
60,napari-splinedist,,49.0
61,napari-layer-table,28.0,76.0
62,napari-wsi,,45.0
63,napari-itk-io,21.0,181.0
