,plugin,conda_downloads,pypi_downloads
0,Image-Composer,8.0,13.0
1,Image-Part-Selecter,8.0,13.0
2,Label-Creator,7.0,18.0
3,Layer-Data-Replace,10.0,6.0
4,Offset-Subtraction,11.0,7.0
5,PartSeg,208.0,665.0
6,PartSeg-smfish,22.0,15.0
7,Partial-Aligner,7.0,5.0
8,PlatyMatch,102.0,60.0
9,RedLionfish,249.0,85.0
10,World2Data,6.0,10.0
11,affinder,26.0,95.0
12,arcos-gui,17.0,14.0
13,avidaq,21.0,19.0
14,bbii-decon,8.0,28.0
15,beetlesafari,8.0,13.0
16,bfio,,555.0
17,blik,21.0,31.0
18,brainglobe-napari-io,23.0,122.0
19,brainreg-napari,,54.0
20,brainreg-segment,19.0,115.0
21,btrack,81.0,259.0
22,cellfinder-napari,40.0,136.0
23,cellpose-napari,34.0,159.0
24,devbio-napari,271.0,71.0
25,disease-classifier,,11.0
26,elastix-napari,,64.0
27,empanada-napari,,49.0
28,faser,,8.0
29,grabber-ift,5.0,19.0
30,guanine-crystal-analysis,9.0,13.0
31,hesperos,69.0,467.0
32,iacs-ipac-reader,18.0,7.0
33,imaxt-multiscale-plugin,,27.0
34,koopa-viz,10.0,48.0
35,mikro-napari,,103.0
36,misic-napari,22.0,52.0
37,morphometrics,100.0,137.0
38,morphometrics-engine,,13.0
39,morphospaces,,17.0
40,napari-3d-ortho-viewer,104.0,35.0
41,napari-DeepSpot,13.0,35.0
42,napari-IDS,,7.0
43,napari-IP-workflow,8.0,13.0
44,napari-ISM,15.0,10.0
45,napari-J,26.0,28.0
46,napari-LF,,8.0
47,napari-PHILOW,12.0,19.0
48,napari-PICASSO,14.0,12.0
49,napari-accelerated-pixel-and-object-classification,224.0,557.0
50,napari-affinities,,23.0
51,napari-aicsimageio,57.0,191.0
52,napari-aideveloper,,14.0
53,napari-allencell-annotator,38.0,28.0
54,napari-allencell-segmenter,29.0,643.0
55,napari-animated-gif-io,17.0,51.0
56,napari-animation,14.0,246.0
57,napari-annotate,,22.0
58,napari-annotator,12.0,18.0
59,napari-annotatorj,19.0,19.0
60,napari-apple,,17.0
61,napari-apr-viewer,,16.0
62,napari-arboretum,24.0,32.0
63,napari-assistant,210.0,555.0
64,napari-assistant-plugin-generator,,11.0
65,napari-bigwarp,6.0,10.0
66,napari-bil-data-viewer,10.0,11.0
67,napari-bio-sample-data,10.0,10.0
68,napari-bioformats,18.0,65.0
69,napari-bioimageio,10.0,12.0
70,napari-bleach-correct,,13.0
71,napari-blob-detection,99.0,44.0
72,napari-blossom,11.0,15.0
73,napari-boids,,4.0
74,napari-boxmanager,,478.0
75,napari-brainbow-diagnose,,409.0
76,napari-brightness-contrast,114.0,77.0
77,napari-brushsettings,9.0,12.0
78,napari-btrack-reader,9.0,13.0
79,napari-bud-cell-segmenter,,32.0
80,napari-buds,,18.0
81,napari-calibration,,9.0
82,napari-ccp4map,8.0,12.0
83,napari-cellseg3d,32.0,31.0
84,napari-checkerboard,,32.0
85,napari-cilia-beating-frequency,,12.0
86,napari-clemreg,,12.0
87,napari-clusters-plotter,53.0,131.0
88,napari-compressed-labels-io,10.0,12.0
89,napari-conidie,,18.0
90,napari-console,104.0,16510.0
91,napari-cookiecut,,16.0
92,napari-crop,103.0,88.0
93,napari-cryofibsem-monitor,18.0,15.0
94,napari-cupy-image-processing,72.0,45.0
95,napari-curtain,104.0,58.0
96,napari-czann-segment,32.0,17.0
97,napari-czifile2,118.0,81.0
98,napari-data-preview,,
99,napari-deepfinder,,16.0
100,napari-deeplabcut,71.0,1275.0
101,napari-deepmeta,14.0,25.0
102,napari-denoiseg,,21.0
103,napari-dexp,24.0,34.0
104,napari-dv,9.0,29.0
105,napari-dvid,12.0,12.0
106,napari-dzi-zarr,5.0,32.0
107,napari-elementary-numpy-operations,7.0,14.0
108,napari-em-reader,5.0,11.0
109,napari-error-reporter,18.0,10.0
110,napari-feature-classifier,8.0,14.0
111,napari-features,8.0,27.0
112,napari-filament-annotator,,19.0
113,napari-filaments,18.0,13.0
114,napari-file-watcher,,473.0
115,napari-folder-browser,99.0,68.0
116,napari-generic-SIMulator,47.0,174.0
117,napari-geojson,8.0,46.0
118,napari-gruvbox,,17.0
119,napari-hdf5-labels-io,8.0,38.0
120,napari-help,7.0,7.0
121,napari-hierarchical,,23.0
122,napari-image-stacker,21.0,24.0
123,napari-imaris-loader,32.0,44.0
124,napari-imc,123.0,96.0
125,napari-imsmicrolink,18.0,25.0
126,napari-input-visualizer,,11.0
127,napari-itk-io,13.0,66.0
128,napari-kics,10.0,6.0
129,napari-label-interpolator,,15.0
130,napari-labelimg4classification,11.0,25.0
131,napari-labeling,10.0,13.0
132,napari-labelling-assistant,10.0,10.0
133,napari-labels-overlap,18.0,14.0
134,napari-large-image-importer,,
135,napari-lattice,,54.0
136,napari-layer-details-display,120.0,53.0
137,napari-layer-table,28.0,9.0
138,napari-lazy-openslide,16.0,50.0
139,napari-live-flim,,12.0
140,napari-live-recording,19.0,36.0
141,napari-locpix,,224.0
142,napari-macrokit,,114.0
143,napari-manual-transforms,10.0,13.0
144,napari-mat-file-reader,,14.0
145,napari-mat-images,4.0,26.0
146,napari-math,19.0,14.0
147,napari-matplotlib,26.0,246.0
148,napari-medical-image-formats,10.0,42.0
149,napari-merge-stardist-masks,,115.0
150,napari-metroid,9.0,10.0
151,napari-micromanager,14.0,68.0
152,napari-microscope,10.0,9.0
153,napari-mm3,,26.0
154,napari-molecule-reader,10.0,14.0
155,napari-mouse-controls,95.0,84.0
156,napari-mrcfile-handler,12.0,21.0
157,napari-mrcfile-reader,7.0,27.0
158,napari-mri,10.0,14.0
159,napari-multitask,11.0,13.0
160,napari-n2v,,157.0
161,napari-nD-annotator,23.0,73.0
162,napari-nasa-samples,11.0,10.0
163,napari-nd-cropper,11.0,12.0
164,napari-nd2-folder-viewer,18.0,360.0
165,napari-ndtiffs,15.0,220.0
166,napari-nibabel,,
167,napari-nikon-nd2,10.0,29.0
168,napari-nlm,,10.0
169,napari-nucleaizer,,16.0
170,napari-omaas,11.0,8.0
171,napari-ome-zarr,49.0,444.0
172,napari-omero,11.0,53.0
173,napari-organoid-counter,,8.0
174,napari-owncloud,,15.0
175,napari-patchcreator,,14.0
176,napari-pdf-reader,12.0,13.0
177,napari-pdr-reader,11.0,9.0
178,napari-pixel-correction,,12.0
179,napari-plot,42.0,32.0
180,napari-plot-profile,109.0,84.0
181,napari-plugin-search,101.0,219.0
182,napari-pointslayer-projection,,
183,napari-power-spectrum,6.0,11.0
184,napari-power-widgets,,13.0
185,napari-pram,6.0,8.0
186,napari-process-points-and-surfaces,,239.0
187,napari-proofread-brainbow,,25.0
188,napari-properties-plotter,8.0,22.0
189,napari-properties-viewer,9.0,34.0
190,napari-psf-analysis,6.0,27.0
191,napari-psf-simulator,9.0,8.0
192,napari-pssr,,11.0
193,napari-pyclesperanto-assistant,82.0,718.0
